time,battery,batt_needed_rth,batt_needed_land,remaining_time,time_rth,time_land,total_time,distance,altitude,max_radius,flight_mode,rth_status
0.3,39,20,9,498,3,49,52,294.2,114.3,0.0,GPS_NORMAL,N/A
1.3,39,20,9,498,3,49,52,294.4,114.3,0.0,GPS_NORMAL,N/A
2.3,38,20,9,456,3,49,52,294.5,114.2,0.0,GPS_NORMAL,N/A
3.3,38,20,9,456,3,49,52,294.5,114.3,0.0,GPS_NORMAL,N/A
4.3,38,20,9,421,3,49,52,294.4,114.2,0.0,GPS_NORMAL,N/A
5.4,38,20,9,410,3,49,52,294.3,114.2,0.0,GPS_NORMAL,N/A
6.4,38,20,9,410,3,49,52,294.3,114.1,0.0,GPS_NORMAL,N/A
7.4,38,20,9,381,3,48,51,294.4,113.8,0.0,GPS_NORMAL,N/A
8.4,38,20,9,372,3,48,51,294.5,113.7,0.0,GPS_NORMAL,N/A
9.4,37,20,9,372,3,48,51,294.7,113.4,0.0,GPS_NORMAL,N/A
10.4,37,20,9,372,3,48,51,294.6,113.7,0.0,GPS_NORMAL,N/A
11.4,37,20,9,312,3,49,52,294.5,114.0,0.0,GPS_NORMAL,N/A
12.4,37,20,9,312,3,49,52,294.4,114.2,0.0,GPS_NORMAL,N/A
13.4,37,20,9,312,3,49,52,294.4,114.2,0.0,GPS_NORMAL,N/A
14.4,36,20,9,278,3,49,52,294.4,114.3,0.0,GPS_NORMAL,N/A
15.4,36,20,9,268,3,49,52,294.4,114.4,0.0,GPS_NORMAL,N/A
16.4,36,20,9,258,3,49,52,294.4,114.4,0.0,GPS_NORMAL,N/A
17.4,36,20,9,258,3,49,52,294.3,114.4,0.0,GPS_NORMAL,N/A
18.4,36,20,9,258,3,49,52,294.3,114.4,0.0,GPS_NORMAL,N/A
19.4,36,20,9,258,3,49,52,294.4,114.4,0.0,GPS_NORMAL,N/A
20.4,36,21,10,271,3,49,52,294.5,114.4,0.0,GPS_NORMAL,N/A
21.4,36,21,10,280,3,49,52,294.5,114.4,0.0,GPS_NORMAL,N/A
